id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.201576145653056e-06 3.3243545715511334e-06 5.93083923280139e-06 5.6110338471281415e-06 7.857543739181226e-06 1.1978356749179791e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 246 0 0 0 496 0 | 998 998 998 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.972719837014367e-06 2.6120463943588808e-06 4.0302527832697365e-06 4.417869541317883e-06 6.391665539863567e-06 8.691864976491315e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 3.0 5.0 | 1 23 498 17 303 18 | 997 998 997 997 996 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.229275237105009e-06 1.5783997758417266e-06 2.1758554972591447e-06 3.5332889313346325e-06 6.091937822055911e-06 7.129198944481305e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 4.0 5.0 | 51 65 0 77 13 2 | 998 998 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.387592158489484e-06 1.2644460254463191e-06 2.1165843251409696e-06 2.4319661872145247e-06 6.864274283566769e-06 7.823865643228066e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 4.0 | 81 0 0 0 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.4983761122493252e-06 1.1246252301952068e-06 1.7406067354439557e-06 2.0083924873707426e-06 6.0012332398784115e-06 6.817350536375843e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 3.0 | 490 38 0 0 13 10 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.32468921732351e-06 1.1746998325753952e-06 1.8365164595643274e-06 2.1021884442116273e-06 6.299861414630963e-06 7.164860280084674e-06 | 0.0 0.0 0.0 0.0 0.0 0.0 | 2.0 2.0 2.0 2.0 2.0 5.0 | 73 0 0 0 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
